Tara,mult_jobs,unmet_med_needs,unemp_rate,income_euro,unex_f_exp,inab_holiday,inab_ends_meet,exp_sp
Austria,4.5,0,5.6,23211,23.9,19,5.6,29.8
Belgia,4.3,2.4,8.5,21705,24,26.6,7.9,30
Bulgaria,0.6,2.4,11.4,3311,49.6,49.9,31.7,18.4
Cehia,2.2,0.2,6.1,7622,40.8,37.3,9.3,19.5
Cipru,3.7,1.6,16.1,14400,59.8,58.9,32.1,20.2
Croatia,2.4,0,17.3,5225,63.7,70.1,25.2,21.8
Danemarca,7.7,0.2,6.9,27861,28.5,16.6,4.4,34.4
Estonia,4.7,0.1,7.4,7217,39.1,34.7,6.5,14.8
Finlanda,5.3,0.1,8.7,23702,27.2,13.6,2.7,31.7
Franta,5.3,1.7,10.3,21199,33.4,24.9,4.9,34.5
Germania,5,0.3,5,19733,32.6,21,2.8,29.1
Grecia,1.7,4.6,26.5,7680,51.8,50,39.5,26.2
Irlanda,2.4,3,11.9,20171,54.5,48,17.8,21.2
Italia,1.3,2.4,12.7,15759,38.8,49.5,17.9,29.6
Letonia,4.6,3.2,10.8,5203,67.4,44.9,18.6,14.5
Lituania,6.5,0.1,10.7,4823,54.7,43.2,8.2,15.3
Luxemburg,3.1,0.4,5.9,34320,23.8,13.4,3.9,22.3
Malta,4.8,0.8,5.7,12808,24.6,52,12.4,17.8
Olanda,8.3,0,7.4,20891,23.7,18.4,4.3,30.6
Polonia,6.4,0.8,9,5336,48.6,52.6,10.7,19.4
Portugalia,4.6,1.6,14.1,8229,42.2,55.6,23.3,26.9
Romania,2,1.6,6.8,2155,52.7,69.5,21.7,14.7
Slovacia,1,0.4,13.2,6809,38.9,48.8,12.6,18.4
Slovenia,4.1,0,9.7,11909,45.8,31.5,9.8,23.9
Spania,2.2,0.6,24.5,13269,42.7,46.4,17.5,25.5
Suedia,9.1,0.8,8,25838,20.4,9.9,3.8,29.3
Ungaria,1.7,0.6,7.7,4512,75.9,59.6,22.8,19.7
